id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
796505,"Юдин, Эрик Григорьевич",https://ru.wikipedia.org/wiki/Юдин%2C_Эрик_Григорьевич,14 февраля 1930(1930-02-14),5 января 1976(1976-01-05) (45 лет),,,,Московский методологический кружок
796528,"Ладенко, Иосаф Семёнович",https://ru.wikipedia.org/wiki/Ладенко%2C_Иосаф_Семёнович,16 сентября 1933(1933-09-16),16 марта 1996(1996-03-16) (62 года),,,,московский логический кружок
799221,"Яннарас, Христос",https://ru.wikipedia.org/wiki/Яннарас%2C_Христос,,,,,,
799748,Дайдодзи Юдзан,https://ru.wikipedia.org/wiki/Дайдодзи_Юдзан,,,,,,
802621,"Кожев, Александр Владимирович",https://ru.wikipedia.org/wiki/Кожев%2C_Александр_Владимирович,28 апреля (11 мая) 1902[1],4 июня 1968(1968-06-04)[2][3][…] (66 лет),Гегель · Маркс · В. Соловьёв · Ясперс · Хайдеггер · Кандинский · Койре,Сартр · Лакан · Арон · Мерло-Понти · Батай · Фукуяма · Гройс · Фуко · Деррида,Философия XX века,"Неогегельянство, западный марксизм"
803315,"Кассен, Барбара",https://ru.wikipedia.org/wiki/Кассен%2C_Барбара,24 октября 1947(1947-10-24) (77 лет),,"Мартин Хайдеггер, Жак Лакан и Ханна Арендт",,,
803357,"Жюльен, Франсуа",https://ru.wikipedia.org/wiki/Жюльен%2C_Франсуа,1951[1][2][…],,,,философия XX века,
803693,"Эрш, Жанна",https://ru.wikipedia.org/wiki/Эрш%2C_Жанна,13 июля 1910(1910-07-13)[1][2][…],5 июня 2000(2000-06-05)[1][2][…] (89 лет),Ясперс,,,
803779,"Новгородцев, Павел Иванович",https://ru.wikipedia.org/wiki/Новгородцев%2C_Павел_Иванович,,,,,,
806952,"Нельсон, Тед",https://ru.wikipedia.org/wiki/Нельсон%2C_Тед,,,,,,
807416,"Горц, Андре",https://ru.wikipedia.org/wiki/Горц%2C_Андре,,,,,,
